order_number,product_key,customer_key,order_date,shipping_date,due_date,sales_amount,quantity,price
SO54575,290,7740,17-03-2013,24-03-2013,29-03-2013,4,1,4
SO54575,286,7740,17-03-2013,24-03-2013,29-03-2013,25,1,25
SO54575,293,7740,17-03-2013,24-03-2013,29-03-2013,64,1,64
SO54576,127,15775,17-03-2013,24-03-2013,29-03-2013,540,1,540
SO54576,280,15775,17-03-2013,24-03-2013,29-03-2013,9,1,9
SO54577,142,7738,17-03-2013,24-03-2013,29-03-2013,2443,1,2443
SO54578,143,7748,17-03-2013,24-03-2013,29-03-2013,2443,1,2443
SO54578,105,7748,17-03-2013,24-03-2013,29-03-2013,9,1,9
SO54578,295,7748,17-03-2013,24-03-2013,29-03-2013,5,1,5
SO54578,277,7748,17-03-2013,24-03-2013,29-03-2013,54,1,54
SO54579,140,7711,17-03-2013,24-03-2013,29-03-2013,2443,1,2443
SO54579,105,7711,17-03-2013,24-03-2013,29-03-2013,9,1,9
SO54579,295,7711,17-03-2013,24-03-2013,29-03-2013,5,1,5
SO54579,278,7711,17-03-2013,24-03-2013,29-03-2013,54,1,54
SO54579,166,7711,17-03-2013,24-03-2013,29-03-2013,9,1,9
SO54580,149,17842,17-03-2013,24-03-2013,29-03-2013,742,1,742
SO54580,105,17842,17-03-2013,24-03-2013,29-03-2013,9,1,9
SO54580,295,17842,17-03-2013,24-03-2013,29-03-2013,5,1,5
SO54581,150,5755,17-03-2013,24-03-2013,29-03-2013,742,1,742
SO54581,105,5755,17-03-2013,24-03-2013,29-03-2013,9,1,9
SO54581,295,5755,17-03-2013,24-03-2013,29-03-2013,5,1,5
SO54582,125,907,17-03-2013,24-03-2013,29-03-2013,2320,1,2320
SO54582,174,907,17-03-2013,24-03-2013,29-03-2013,22,1,22
SO54582,104,907,17-03-2013,24-03-2013,29-03-2013,10,1,10
SO54582,295,907,17-03-2013,24-03-2013,29-03-2013,5,1,5
SO54582,245,907,17-03-2013,24-03-2013,29-03-2013,35,1,35
SO54583,159,13735,17-03-2013,24-03-2013,29-03-2013,2384,1,2384
SO54583,295,13735,17-03-2013,24-03-2013,29-03-2013,5,1,5
SO54583,105,13735,17-03-2013,24-03-2013,29-03-2013,9,1,9
SO54583,244,13735,17-03-2013,24-03-2013,29-03-2013,35,1,35
SO54583,248,13735,17-03-2013,24-03-2013,29-03-2013,50,1,50
SO54583,166,13735,17-03-2013,24-03-2013,29-03-2013,9,1,9
SO54584,128,10904,17-03-2013,24-03-2013,29-03-2013,540,1,540
SO54584,166,10904,17-03-2013,24-03-2013,29-03-2013,9,1,9
SO54585,139,7496,18-03-2013,25-03-2013,30-03-2013,2443,1,2443
SO54586,143,7497,18-03-2013,25-03-2013,30-03-2013,2443,1,2443
SO54586,290,7497,18-03-2013,25-03-2013,30-03-2013,4,1,4
SO54586,294,7497,18-03-2013,25-03-2013,30-03-2013,64,1,64
SO54586,287,7497,18-03-2013,25-03-2013,30-03-2013,33,1,33
SO54587,133,5516,18-03-2013,25-03-2013,30-03-2013,1120,1,1120
SO54587,246,5516,18-03-2013,25-03-2013,30-03-2013,35,1,35
SO54588,132,13890,18-03-2013,25-03-2013,30-03-2013,1120,1,1120
SO54588,286,13890,18-03-2013,25-03-2013,30-03-2013,25,1,25
SO54588,290,13890,18-03-2013,25-03-2013,30-03-2013,4,1,4
SO54588,260,13890,18-03-2013,25-03-2013,30-03-2013,120,1,120
SO54589,120,576,18-03-2013,25-03-2013,30-03-2013,2295,1,2295
SO54590,123,565,18-03-2013,25-03-2013,30-03-2013,2320,1,2320
SO54591,289,11007,18-03-2013,25-03-2013,30-03-2013,5,1,5
SO54591,284,11007,18-03-2013,25-03-2013,30-03-2013,35,1,35
SO54591,259,11007,18-03-2013,25-03-2013,30-03-2013,2,1,2
SO54592,289,10407,18-03-2013,25-03-2013,30-03-2013,5,1,5
SO54592,284,10407,18-03-2013,25-03-2013,30-03-2013,35,1,35
SO54592,244,10407,18-03-2013,25-03-2013,30-03-2013,35,1,35
SO54593,104,72,18-03-2013,25-03-2013,30-03-2013,10,1,10
SO54593,295,72,18-03-2013,25-03-2013,30-03-2013,5,1,5
SO54594,168,115,18-03-2013,25-03-2013,30-03-2013,8,1,8
SO54595,290,15785,18-03-2013,25-03-2013,30-03-2013,4,1,4
SO54595,244,15785,18-03-2013,25-03-2013,30-03-2013,35,1,35
SO54595,248,15785,18-03-2013,25-03-2013,30-03-2013,50,1,50
SO54596,259,1037,18-03-2013,25-03-2013,30-03-2013,2,1,2
SO54597,281,3313,18-03-2013,25-03-2013,30-03-2013,159,1,159
SO54598,136,10104,18-03-2013,25-03-2013,30-03-2013,1701,1,1701
SO54598,295,10104,18-03-2013,25-03-2013,30-03-2013,5,1,5
SO54598,105,10104,18-03-2013,25-03-2013,30-03-2013,9,1,9
SO54598,166,10104,18-03-2013,25-03-2013,30-03-2013,9,1,9
SO54599,135,6636,18-03-2013,25-03-2013,30-03-2013,1701,1,1701
SO54599,166,6636,18-03-2013,25-03-2013,30-03-2013,9,1,9
SO54600,107,3957,18-03-2013,25-03-2013,30-03-2013,540,1,540
SO54600,282,3957,18-03-2013,25-03-2013,30-03-2013,25,1,25
SO54600,259,3957,18-03-2013,25-03-2013,30-03-2013,2,1,2
SO54601,142,16938,18-03-2013,25-03-2013,30-03-2013,2443,1,2443
SO54601,287,16938,18-03-2013,25-03-2013,30-03-2013,33,1,33
SO54601,290,16938,18-03-2013,25-03-2013,30-03-2013,4,1,4
SO54601,259,16938,18-03-2013,25-03-2013,30-03-2013,2,1,2
SO54601,281,16938,18-03-2013,25-03-2013,30-03-2013,159,1,159
SO54602,141,1324,18-03-2013,25-03-2013,30-03-2013,2443,1,2443
SO54602,105,1324,18-03-2013,25-03-2013,30-03-2013,9,1,9
SO54602,295,1324,18-03-2013,25-03-2013,30-03-2013,5,1,5
SO54602,245,1324,18-03-2013,25-03-2013,30-03-2013,35,1,35
SO54602,166,1324,18-03-2013,25-03-2013,30-03-2013,9,1,9
SO54603,125,604,18-03-2013,25-03-2013,30-03-2013,2320,1,2320
SO54604,124,2561,18-03-2013,25-03-2013,30-03-2013,2320,1,2320
SO54604,104,2561,18-03-2013,25-03-2013,30-03-2013,10,1,10
SO54604,295,2561,18-03-2013,25-03-2013,30-03-2013,5,1,5
SO54605,290,200,18-03-2013,25-03-2013,30-03-2013,4,1,4
SO54605,259,200,18-03-2013,25-03-2013,30-03-2013,2,1,2
SO54606,166,17144,18-03-2013,25-03-2013,30-03-2013,9,1,9
SO54606,291,17144,18-03-2013,25-03-2013,30-03-2013,5,1,5
SO54607,249,1065,18-03-2013,25-03-2013,30-03-2013,50,1,50
SO54607,235,1065,18-03-2013,25-03-2013,30-03-2013,24,1,24
SO54608,286,17982,18-03-2013,25-03-2013,30-03-2013,25,1,25
SO54608,259,17982,18-03-2013,25-03-2013,30-03-2013,2,1,2
SO54609,285,8224,18-03-2013,25-03-2013,30-03-2013,21,1,21
SO54610,290,503,18-03-2013,25-03-2013,30-03-2013,4,1,4
SO54610,286,503,18-03-2013,25-03-2013,30-03-2013,25,1,25
SO54610,244,503,18-03-2013,25-03-2013,30-03-2013,35,1,35
SO54610,277,503,18-03-2013,25-03-2013,30-03-2013,54,1,54
SO54611,283,8837,18-03-2013,25-03-2013,30-03-2013,30,1,30
SO54611,279,8837,18-03-2013,25-03-2013,30-03-2013,9,1,9
SO54612,289,825,18-03-2013,25-03-2013,30-03-2013,5,1,5
SO54612,283,825,18-03-2013,25-03-2013,30-03-2013,30,1,30
SO54612,244,825,18-03-2013,25-03-2013,30-03-2013,35,1,35
SO54613,104,11010,18-03-2013,25-03-2013,30-03-2013,10,1,10
SO54614,289,8016,18-03-2013,25-03-2013,30-03-2013,5,1,5
SO54614,283,8016,18-03-2013,25-03-2013,30-03-2013,30,1,30
SO54614,245,8016,18-03-2013,25-03-2013,30-03-2013,35,1,35
SO54614,235,8016,18-03-2013,25-03-2013,30-03-2013,24,1,24
SO54615,289,11227,18-03-2013,25-03-2013,30-03-2013,5,1,5
SO54615,283,11227,18-03-2013,25-03-2013,30-03-2013,30,1,30
SO54616,283,12052,18-03-2013,25-03-2013,30-03-2013,30,1,30
SO54616,289,12052,18-03-2013,25-03-2013,30-03-2013,5,1,5
SO54617,295,3503,18-03-2013,25-03-2013,30-03-2013,5,1,5
SO54617,104,3503,18-03-2013,25-03-2013,30-03-2013,10,1,10
SO54618,104,3726,18-03-2013,25-03-2013,30-03-2013,10,1,10
SO54618,295,3726,18-03-2013,25-03-2013,30-03-2013,5,1,5
SO54618,247,3726,18-03-2013,25-03-2013,30-03-2013,55,1,55
SO54619,274,9309,18-03-2013,25-03-2013,30-03-2013,70,1,70
SO54620,274,9122,18-03-2013,25-03-2013,30-03-2013,70,1,70
SO54621,273,7522,18-03-2013,25-03-2013,30-03-2013,70,1,70
SO54621,250,7522,18-03-2013,25-03-2013,30-03-2013,50,1,50
SO54622,273,7602,18-03-2013,25-03-2013,30-03-2013,70,1,70
SO54623,295,12799,18-03-2013,25-03-2013,30-03-2013,5,1,5
SO54623,247,12799,18-03-2013,25-03-2013,30-03-2013,55,1,55
SO54623,168,12799,18-03-2013,25-03-2013,30-03-2013,8,1,8
SO54624,295,5966,18-03-2013,25-03-2013,30-03-2013,5,1,5
SO54624,245,5966,18-03-2013,25-03-2013,30-03-2013,35,1,35
SO54625,289,4407,18-03-2013,25-03-2013,30-03-2013,5,1,5
SO54625,259,4407,18-03-2013,25-03-2013,30-03-2013,2,1,2
SO54626,289,16301,18-03-2013,25-03-2013,30-03-2013,5,1,5
SO54626,259,16301,18-03-2013,25-03-2013,30-03-2013,2,1,2
SO54627,174,7920,18-03-2013,25-03-2013,30-03-2013,22,1,22
SO54627,244,7920,18-03-2013,25-03-2013,30-03-2013,35,1,35
SO54627,248,7920,18-03-2013,25-03-2013,30-03-2013,50,1,50
SO54628,289,5060,18-03-2013,25-03-2013,30-03-2013,5,1,5
SO54628,174,5060,18-03-2013,25-03-2013,30-03-2013,22,1,22
SO54628,260,5060,18-03-2013,25-03-2013,30-03-2013,120,1,120
SO54629,174,9087,18-03-2013,25-03-2013,30-03-2013,22,1,22
SO54629,244,9087,18-03-2013,25-03-2013,30-03-2013,35,1,35
SO54630,290,6632,18-03-2013,25-03-2013,30-03-2013,4,1,4
SO54630,244,6632,18-03-2013,25-03-2013,30-03-2013,35,1,35
SO54630,249,6632,18-03-2013,25-03-2013,30-03-2013,50,1,50
SO54630,166,6632,18-03-2013,25-03-2013,30-03-2013,9,1,9
SO54631,295,1491,18-03-2013,25-03-2013,30-03-2013,5,1,5
SO54631,276,1491,18-03-2013,25-03-2013,30-03-2013,54,1,54
SO54632,290,15897,18-03-2013,25-03-2013,30-03-2013,4,1,4
SO54632,279,15897,18-03-2013,25-03-2013,30-03-2013,9,1,9
SO54633,288,3547,18-03-2013,25-03-2013,30-03-2013,29,1,29
SO54634,291,5191,18-03-2013,25-03-2013,30-03-2013,5,1,5
SO54634,259,5191,18-03-2013,25-03-2013,30-03-2013,2,1,2
SO54635,291,1829,18-03-2013,25-03-2013,30-03-2013,5,1,5
SO54635,249,1829,18-03-2013,25-03-2013,30-03-2013,50,1,50
SO54636,289,846,18-03-2013,25-03-2013,30-03-2013,5,1,5
SO54636,284,846,18-03-2013,25-03-2013,30-03-2013,35,1,35
SO54636,259,846,18-03-2013,25-03-2013,30-03-2013,2,1,2
SO54637,174,1532,18-03-2013,25-03-2013,30-03-2013,22,1,22
SO54638,174,2071,18-03-2013,25-03-2013,30-03-2013,22,1,22
SO54638,244,2071,18-03-2013,25-03-2013,30-03-2013,35,1,35
SO54639,138,9665,18-03-2013,25-03-2013,30-03-2013,1701,1,1701
SO54639,286,9665,18-03-2013,25-03-2013,30-03-2013,25,1,25
SO54639,290,9665,18-03-2013,25-03-2013,30-03-2013,4,1,4
SO54639,245,9665,18-03-2013,25-03-2013,30-03-2013,35,1,35
SO54640,135,1766,18-03-2013,25-03-2013,30-03-2013,1701,1,1701
SO54640,250,1766,18-03-2013,25-03-2013,30-03-2013,50,1,50
SO54641,106,2067,18-03-2013,25-03-2013,30-03-2013,540,1,540
SO54641,295,2067,18-03-2013,25-03-2013,30-03-2013,5,1,5
SO54641,104,2067,18-03-2013,25-03-2013,30-03-2013,10,1,10
SO54641,245,2067,18-03-2013,25-03-2013,30-03-2013,35,1,35
SO54642,114,8022,18-03-2013,25-03-2013,30-03-2013,565,1,565
SO54642,104,8022,18-03-2013,25-03-2013,30-03-2013,10,1,10
SO54642,295,8022,18-03-2013,25-03-2013,30-03-2013,5,1,5
